,subj_idx,seq_idx,seq_vect,trial_vect,lookaway,slat,ltime,counts_loc1,counts_loc2,counts_loc3,counts_loc4,prev_counts_loc1,prev_counts_loc2,prev_counts_loc3,prev_counts_loc4
40,0,3.0,3.0,3.0,1,-0.1834910641485308,0.5145977272656396,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0
41,0,4.0,4.0,0.0,0,-1.5312609201628402,1.1061108873808512,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,0,4.0,4.0,1.0,0,-0.3957767210571886,0.7512503218306372,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
43,0,4.0,4.0,2.0,0,0.580331094046771,-0.05336849969035459,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
44,0,4.0,4.0,3.0,1,0.36751634440904357,0.24244724351589247,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0
45,0,5.0,5.0,0.0,0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,0,5.0,5.0,1.0,0,1.030981559155004,-0.3254006571428195,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
47,0,5.0,5.0,2.0,0,,,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
48,0,5.0,5.0,3.0,0,,,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0
49,0,5.0,5.0,4.0,1,0.18233388923466365,-0.12034118395224909,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0
50,1,0.0,0.0,0.0,0,-0.05316357772350174,0.17937932706432066,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,1,0.0,0.0,1.0,0,0.5192464851003097,-0.09277115668542665,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
52,1,0.0,0.0,2.0,0,0.2840733007825419,0.19109363049528788,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0
53,1,0.0,0.0,3.0,1,,,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0
54,1,1.0,1.0,0.0,0,0.4264675149318369,-0.1360785814908214,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1,1.0,1.0,1.0,0,-1.1968401803760385,1.003521987636925,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
56,1,1.0,1.0,2.0,0,-0.994195958391621,0.8340787299283864,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
57,1,1.0,1.0,3.0,0,0.6871566227966737,-0.029703240233854827,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
58,1,1.0,1.0,4.0,0,-0.725708706400593,0.8379834977387091,4.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
