id,subj,nseq,ntrialsubj,ntrialseq,lasttrial,H,I,D,event,R,P_group,pred_trials,AL,ALV,slat,linger,dwell
321,47,5,30,4,5,-1.9056,2.8074,0.057355,0,0.69315,60,0,2.0,0.0,-493.56,959.3,2723.0
321,47,5,31,5,5,-1.8366,1.415,0.014536,1,1.7918,60,1,0.0,,478.32,474.71,1496.4
322,48,1,1,1,12,-1.9219,2.0,0.078072,0,0.0,100,0,0.0,,508.77,749.95,2183.0
322,48,1,2,2,12,-1.7925,1.3219,0.029447,0,0.69315,100,1,0.0,,880.35,750.99,1866.4
322,48,1,3,3,12,-1.6645,1.0,0.014772,0,1.7918,100,1,0.0,,499.17,751.03,2243.0
322,48,1,4,4,12,-1.5488,0.80735,0.00856,0,3.1781,100,1,0.0,,631.21,874.27,2176.3
322,48,1,5,5,12,-1.4466,0.67807,0.0054313,0,4.7875,100,1,0.0,,776.44,750.9,1966.4
322,48,1,6,6,12,-1.3568,0.58496,0.0036716,0,6.5793,100,1,0.0,,628.59,751.13,2049.8
322,48,1,7,7,12,-1.2776,0.51457,0.002602,0,6.5793,100,1,0.0,,407.24,750.92,2363.0
322,48,1,8,8,12,-1.2075,0.45943,0.0019129,0,6.5793,100,1,0.0,,619.25,751.14,2119.8
322,48,1,9,9,12,-1.1451,0.41504,0.0014482,0,6.5793,100,1,0.0,,431.23,750.92,2329.7
322,48,1,10,10,12,-1.0892,0.37851,0.0011233,0,6.5793,100,1,0.0,,443.29,751.09,2266.4
322,48,1,11,11,12,-1.0389,0.34792,0.00088903,0,6.5793,100,1,0.0,,535.22,750.94,2213.0
322,48,1,12,12,12,-0.99339,0.32193,0.00071583,1,6.5793,100,1,,,,,
323,48,2,13,1,5,-1.9219,2.0,0.078072,0,0.0,60,0,0.0,,460.82,623.85,1663.0
323,48,2,14,2,5,-1.7925,1.3219,0.029447,0,0.69315,60,1,0.0,,483.02,750.79,2209.7
323,48,2,15,3,5,-1.8424,2.585,0.063322,0,0.69315,60,0,0.0,,385.08,714.82,1829.7
323,48,2,16,4,5,-1.75,1.2224,0.014874,0,1.7918,60,1,0.0,,380.41,750.97,2256.4
323,48,2,17,5,5,-1.6577,1.0,0.0089239,1,3.1781,60,1,,,,,
324,48,3,18,1,9,-1.9219,2.0,0.078072,0,0.0,80,0,0.0,,348.77,751.19,2386.3
324,48,3,19,2,9,-1.7925,1.3219,0.029447,0,0.69315,80,1,0.0,,334.06,750.95,2536.3
324,48,3,20,3,9,-1.6645,1.0,0.014772,0,1.7918,80,1,0.0,,419.54,751.24,5112.6
324,48,3,21,4,9,-1.75,2.8074,0.057355,0,1.7918,80,0,0.0,,1604.6,750.95,1156.4
