"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15"
"93" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"94" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"95" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"96" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"97" 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
"98" 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
"99" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"100" 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
"101" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"102" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"103" 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
"104" 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
"105" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"106" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"107" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"108" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"109" 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
"110" 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
"111" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"112" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"113" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"114" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"115" 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
"116" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"117" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"118" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"119" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"120" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"121" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"122" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"123" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"124" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"125" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"126" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"127" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"128" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"129" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"130" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"131" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"132" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"133" 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
"134" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"135" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"136" 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"137" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"138" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"139" 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
"140" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
"141" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"142" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"143" 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
"144" 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0
"145" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"146" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"147" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"148" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"149" 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
"150" 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
"151" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"152" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"153" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"154" 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
"155" 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
"156" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"157" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"158" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"159" 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
"160" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"161" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"162" 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0
"163" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"164" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"165" 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0
"166" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"167" 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
"168" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"169" 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0
"170" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"171" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"172" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"173" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"174" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"175" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"176" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"177" 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
"178" 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0
"179" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"180" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"181" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"182" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"183" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"184" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"185" 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0
"186" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"187" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"188" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"189" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"190" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"191" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"192" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"193" 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
"194" 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0
"195" 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
